timestamp_utc,group,total_lag
2026-07-18T10:35:17Z,traffic-signals-high-priority,101
2026-07-18T10:35:17Z,traffic-signals-standard-priority,0
2026-07-18T10:35:26Z,traffic-signals-high-priority,101
2026-07-18T10:35:26Z,traffic-signals-standard-priority,0
2026-07-18T10:35:37Z,traffic-signals-high-priority,18
2026-07-18T10:35:37Z,traffic-signals-standard-priority,0
2026-07-18T10:35:45Z,traffic-signals-high-priority,56
2026-07-18T10:35:45Z,traffic-signals-standard-priority,9216
2026-07-18T10:35:55Z,traffic-signals-high-priority,60
2026-07-18T10:35:55Z,traffic-signals-standard-priority,11558
2026-07-18T10:36:03Z,traffic-signals-high-priority,30
2026-07-18T10:36:03Z,traffic-signals-standard-priority,14446
2026-07-18T10:36:12Z,traffic-signals-high-priority,46
2026-07-18T10:36:12Z,traffic-signals-standard-priority,16827
2026-07-18T10:36:22Z,traffic-signals-high-priority,88
2026-07-18T10:36:22Z,traffic-signals-standard-priority,19715
2026-07-18T10:36:32Z,traffic-signals-high-priority,101
2026-07-18T10:36:32Z,traffic-signals-standard-priority,22242
2026-07-18T10:36:42Z,traffic-signals-high-priority,91
2026-07-18T10:36:42Z,traffic-signals-standard-priority,25126
2026-07-18T10:36:52Z,traffic-signals-high-priority,77
2026-07-18T10:36:52Z,traffic-signals-standard-priority,27614
2026-07-18T10:37:00Z,traffic-signals-high-priority,0
2026-07-18T10:37:00Z,traffic-signals-standard-priority,28800
2026-07-18T10:37:08Z,traffic-signals-high-priority,0
2026-07-18T10:37:08Z,traffic-signals-standard-priority,28800
2026-07-18T10:37:16Z,traffic-signals-high-priority,0
2026-07-18T10:37:16Z,traffic-signals-standard-priority,28800
